,ID,building_age,heat_type,heat_cost,heat_temp,building_renov,income_detailed,income,heat_type_dummy
964,10911,3,1,700,0,2,4,2,1
965,10921,4,5,100,18,2,4,2,0
966,10924,5,99,300,20,2,1,1,99
967,10933,4,1,350,22,3,2,2,1
968,10938,5,99,400,0,2,1,1,99
969,10945,6,1,720,21,1,4,2,1
970,10948,7,6,50,21,2,3,1,0
971,10949,4,1,700,20,2,4,2,1
972,10951,3,99,513,0,1,4,1,99
973,10954,3,8,800,20,2,3,1,0
974,10958,4,1,900,22,2,6,3,1
975,10964,1,1,300,0,2,4,2,1
976,10965,3,1,2000,21,1,3,1,1
977,10980,3,7,1200,22,1,3,1,0
978,10982,3,1,500,19,2,3,1,1
979,10998,3,1,550,19,2,4,1,1
980,11008,3,1,400,18,2,4,2,1
981,11011,3,7,800,27,2,5,3,0
982,11013,3,1,1800,22,2,6,5,1
983,11022,2,99,600,0,2,4,2,99
984,11049,3,7,1300,21,1,4,2,0
985,11052,3,5,50,0,2,2,1,0
986,11056,3,8,3000,20,1,4,1,0
987,11061,3,7,400,20,3,1,1,0
988,11064,3,1,750,23,1,4,1,1
989,11067,1,1,1200,21,2,3,1,1
990,11070,4,5,2000,22,2,4,2,0
991,11080,3,1,70,21,3,5,2,1
992,11082,2,5,2900,19,1,1,1,0
993,11085,3,4,2000,23,1,13,2,0
994,11089,3,1,1000,23,1,5,2,1
995,11092,2,99,0,21,3,6,3,99
996,11101,5,7,500,22,3,4,2,0
997,11102,3,1,1900,21,2,4,1,1
998,11103,3,1,800,20,3,4,1,1
999,11108,2,4,440,22,3,1,1,0
1000,11114,4,7,800,18,1,1,2,0
1001,11128,4,1,1000,24,3,3,1,1
1002,11139,2,4,600,19,1,5,2,0
1003,11141,2,1,2780,21,1,3,1,1
1004,11147,3,7,800,22,1,4,2,0
1005,11159,4,1,420,22,1,4,2,1
1006,11164,3,4,1500,16,1,3,1,0
1007,11167,3,1,600,20,1,5,3,1
1008,11172,3,4,750,19,1,4,2,0
1009,11183,1,7,2000,22,1,1,2,0
1010,11184,3,1,1300,20,2,4,1,1
1011,11186,5,1,1067,23,2,4,2,1
1012,11188,3,7,260,23,1,3,1,0
1013,11201,5,8,1000,21,1,12,5,0
1014,11206,1,7,350,18,1,4,2,0
1015,11211,3,1,200,0,3,2,4,1
1016,11214,5,1,600,21,2,3,1,1
1017,11215,8,99,100,22,3,13,1,99
1018,11216,3,1,600,19,2,4,2,1
1019,11225,3,7,1200,23,1,1,2,0
1020,11226,3,1,400,20,1,3,1,1
1021,11228,2,99,500,0,2,11,3,99
1022,11234,1,1,600,18,2,6,3,1
1023,11240,1,4,500,21,2,4,2,0
1024,11243,3,4,250,20,1,1,2,0
1025,11244,2,8,500,22,1,2,1,0
1026,11251,3,5,1500,20,2,3,2,0
1027,11254,3,1,400,22,2,1,2,1
1028,11276,3,1,1300,20,2,5,2,1
1029,11288,1,1,1500,23,2,4,1,1
1030,11296,8,1,150,21,3,1,1,1
1031,11297,3,8,3000,22,1,4,1,0
1032,11301,3,4,800,20,3,4,1,0
1033,11302,3,1,642,22,3,4,2,1
1034,11332,2,10,1750,21,1,4,1,0
1035,11400,2,7,1800,21,1,5,2,0
1036,11448,3,4,1500,0,1,7,4,0
1037,11450,3,99,1200,20,2,8,4,99
1038,11605,3,1,400,20,2,4,2,1
1039,11618,2,4,1080,25,2,3,1,0
1040,11634,3,8,250,20,1,4,2,0
1041,11639,1,8,500,20,2,3,1,0
1042,11702,4,4,335,19,3,4,2,0
1043,11715,5,4,700,20,3,4,2,0
1044,11730,2,5,3000,22,1,6,2,0
1045,11735,4,99,1200,21,3,13,2,99
1046,11768,1,1,600,21,1,4,2,1
1047,11775,4,4,960,22,1,3,1,0
1048,11910,3,1,400,21,3,2,2,1
1049,11912,2,1,1000,19,1,2,1,1
1050,11941,3,5,900,22,1,4,2,0
1051,11954,5,1,2000,19,1,5,3,1
1052,11964,6,7,1000,20,2,5,3,0
1053,12007,2,1,1400,21,1,4,2,1
1054,12063,1,1,1200,24,1,4,1,1
1055,12080,3,1,1300,20,1,1,1,1
1056,12108,4,1,550,21,3,4,2,1
1057,12122,5,1,2000,20,2,1,2,1
1058,12202,4,8,150,21,1,4,1,0
1059,12234,5,7,400,0,1,1,2,0
1060,12242,3,1,1800,22,1,3,3,1
1061,12246,3,4,4500,20,2,12,5,0
1062,12247,2,4,1500,20,1,5,3,0
1063,12261,3,1,900,19,2,4,2,1
1064,12326,6,7,2000,0,2,4,2,0
1065,12357,3,7,100,20,3,5,2,0
1066,12358,2,5,700,16,2,1,1,0
1067,12385,3,4,900,0,2,3,1,0
1068,12409,3,1,500,22,1,4,2,1
1069,12444,3,99,50,0,2,1,1,99
1070,12445,5,8,500,0,1,13,5,0
1071,12463,1,7,450,18,1,4,2,0
1072,12473,2,4,900,21,3,1,1,0
1073,12478,3,4,3000,18,1,8,3,0
1074,12479,3,4,2700,21,3,2,1,0
1075,12480,3,1,700,22,2,3,1,1
1076,12494,3,7,700,22,1,4,2,0
1077,12497,4,4,800,21,2,1,2,0
1078,12639,1,2,1500,19,2,4,2,0
1079,12653,4,8,300,23,2,7,4,0
1080,12664,5,4,500,25,2,3,1,0
1081,12705,5,1,2000,20,2,7,4,1
1082,12718,1,10,2000,17,2,3,1,0
1083,12728,6,1,12000,19,1,8,4,1
1084,12730,1,1,300,0,2,1,1,1
1085,12732,2,10,1000,24,1,2,3,0
1086,12733,3,4,1000,20,2,1,1,0
1087,12740,4,7,1400,0,3,4,2,0
1088,12741,5,99,800,24,2,7,4,99
1089,12753,3,7,1500,18,2,4,2,0
1090,12774,3,7,1600,0,2,2,2,0
1091,12781,3,7,1200,20,1,13,1,0
1092,12783,4,99,600,21,3,3,1,99
1093,12793,4,1,780,20,1,2,1,1
1094,12799,2,4,2000,23,1,2,2,0
1095,12824,4,1,1000,20,1,13,2,1
1096,12828,3,1,643,22,1,4,1,1
1097,12838,4,4,480,23,1,3,1,0
1098,12845,2,1,900,21,1,4,2,1
1099,12853,3,7,1200,19,3,5,2,0
1100,12854,4,10,1320,22,1,4,2,0
1101,12858,3,1,300,28,3,2,2,1
1102,12860,3,1,850,19,1,1,1,1
1103,12863,3,99,2200,20,3,8,2,99
1104,12866,5,1,500,19,2,13,2,1
1105,12867,3,1,800,0,3,1,1,1
1106,12870,4,1,3000,25,1,4,2,1
1107,12873,5,4,3000,20,1,10,5,0
1108,12875,3,4,750,18,1,12,5,0
1109,12878,4,1,2200,21,1,12,5,1
1110,12881,6,1,2000,20,1,12,5,1
1111,12882,3,4,2400,21,1,12,5,0
1112,12884,4,1,50,23,1,13,4,1
1113,12889,2,1,1200,22,2,9,5,1
1114,12894,3,1,800,21,1,11,5,1
1115,12895,2,1,2500,21,1,12,5,1
1116,12897,6,1,600,21,2,9,4,1
1117,12900,3,7,1362,20,1,9,4,0
1118,12901,1,1,1200,21,1,6,3,1
1119,12904,3,1,1457,22,1,10,5,1
1120,12906,5,1,1041,20,2,9,4,1
1121,12908,4,4,3512,22,1,9,5,0
1122,12910,3,7,1006,21,1,12,5,0
1123,12915,7,1,1450,22,2,9,4,1
1124,12917,2,1,750,21,1,12,5,1
1125,12922,3,1,375,24,1,9,5,1
1126,12924,3,1,2509,20,1,10,5,1
